"","Team","Date","TOI","CF","CA","CF60","CA60","CF%","C+/-"
"283","ANA","2013-12-03",43.3,26.76,75.64,37.08,104.82,26.13,-48.88
"284","ANA","2013-11-30",46.2,49.5,43.89,64.29,57,53.01,5.61
"285","ANA","2013-11-29",52.23,62.74,40.89,72.07,46.98,60.54,21.85
"286","ANA","2013-11-26",49.7,54.91,43.8,66.29,52.87,55.63,11.12
"287","ANA","2013-11-23",42.93,47.1,48.22,65.82,67.4,49.41,-1.13
"288","ANA","2013-11-22",38.12,43.27,39.58,68.11,62.3,52.23,3.7
"289","ANA","2013-11-20",45.59,27.51,40.16,36.21,52.85,40.65,-12.65
"290","ANA","2013-11-18",51.99,42.35,40.21,48.88,46.41,51.3,2.14
"291","ANA","2013-11-15",51.26,39.84,39.4,46.63,46.12,50.27,0.44
"292","ANA","2013-11-14",49.3,28.48,42.72,34.66,52,40,-14.24
"293","ANA","2013-11-12",44.74,39.59,33.84,53.09,45.38,53.91,5.75
"294","ANA","2013-11-10",50.93,45.45,55.04,53.54,64.84,45.23,-9.6
"295","ANA","2013-11-08",54.83,72.61,44.68,79.46,48.9,61.9,27.93
"296","ANA","2013-11-06",48.97,36.56,41.76,44.8,51.17,46.68,-5.2
"297","ANA","2013-11-04",52.51,43.28,48.42,49.45,55.33,47.2,-5.14
"298","ANA","2013-11-02",50.74,54.41,30.18,64.34,35.69,64.32,24.23
"299","ANA","2013-10-31",48.33,28.49,34.88,35.37,43.31,44.96,-6.39
"300","ANA","2013-10-29",50.22,53.57,41.71,64,49.84,56.22,11.85
"301","ANA","2013-10-27",46.56,37.16,35.07,47.89,45.19,51.45,2.1
"302","ANA","2013-10-25",40.28,45.07,32.26,67.13,48.06,58.28,12.8
"303","ANA","2013-10-24",44.35,45.86,34.95,62.04,47.29,56.75,10.91
"304","ANA","2013-10-22",42.81,49.73,34.18,69.7,47.9,59.27,15.55
"305","ANA","2013-10-20",43.47,46.22,48.54,63.79,67,48.78,-2.32
"306","ANA","2013-10-18",38.21,42.73,34.5,67.1,54.17,55.33,8.23
"307","ANA","2013-10-16",42.58,33.48,40.63,47.18,57.25,45.18,-7.15
"308","ANA","2013-10-13",45.66,62.16,52.24,81.68,68.64,54.33,9.92
"309","ANA","2013-10-10",45.87,40.31,41,52.72,53.63,49.57,-0.7
"310","ANA","2013-10-06",46.04,48.14,34.12,62.74,44.46,58.53,14.03
"311","ANA","2013-10-05",47.68,29.24,44.88,36.8,56.48,39.45,-15.64
"312","ANA","2013-10-02",46.72,47.07,42.68,60.45,54.81,52.45,4.39
"313","ANA","2013-05-12",48.15,37.61,59.61,46.86,74.29,38.68,-22.01
"314","ANA","2013-05-10",56.08,57.42,52.71,61.44,56.39,52.14,4.71
"315","ANA","2013-05-08",47.87,43.34,61.35,54.32,76.9,41.39,-18.02
"316","ANA","2013-05-06",66.6,45.27,76.05,40.79,68.51,37.32,-30.78
"317","ANA","2013-05-04",37.54,29.32,28.74,46.86,45.93,50.5,0.58
"318","ANA","2013-05-02",42.96,38.17,45.59,53.31,63.67,45.57,-7.42
"319","ANA","2013-04-30",46.74,42.87,37.73,55.03,48.43,53.19,5.15
"320","ANA","2013-04-27",48.47,54.52,55.52,67.5,68.73,49.55,-1
"321","ANA","2013-04-25",47.74,46.46,41.6,58.39,52.29,52.76,4.85
"322","ANA","2013-04-22",47.25,54.08,43.39,68.67,55.1,55.48,10.69
"323","ANA","2013-04-21",41.3,45.47,35.38,66.06,51.4,56.24,10.09
"324","ANA","2013-04-19",48.17,58.7,43.42,73.12,54.08,57.48,15.28
"325","ANA","2013-04-17",47.47,37.2,42.25,47.02,53.4,46.82,-5.05
"326","ANA","2013-04-13",48.5,32.71,48.24,40.47,59.68,40.41,-15.52
"327","ANA","2013-04-10",49.18,30.67,53.09,37.42,64.77,36.62,-22.42
"328","ANA","2013-04-08",44.91,50.41,37.92,67.35,50.66,57.07,12.49
"329","ANA","2013-04-07",49.62,24.75,60.41,29.93,73.05,29.06,-35.66
"330","ANA","2013-04-05",39.72,38.83,33.88,58.66,51.19,53.4,4.95
"331","ANA","2013-04-03",58.92,37.8,46,38.49,46.84,45.11,-8.2
"332","ANA","2013-04-01",48.82,54.57,36.61,67.06,45,59.84,17.95
"333","ANA","2013-03-31",53.5,50.91,25.71,57.09,28.84,66.44,25.19
"334","ANA","2013-03-29",49.63,35.54,34.35,42.96,41.53,50.85,1.19
"335","ANA","2013-03-27",50.13,48.65,46.8,58.23,56.01,50.97,1.85
"336","ANA","2013-03-25",44.13,44.87,48.13,61,65.44,48.25,-3.26
"337","ANA","2013-03-24",46.7,41.62,31.52,53.47,40.49,56.91,10.1
"338","ANA","2013-03-22",51.36,38.86,53.45,45.4,62.44,42.1,-14.59
"339","ANA","2013-03-20",53.38,44.52,48.55,50.04,54.57,47.83,-4.03
"340","ANA","2013-03-18",52.9,35.62,57.69,40.4,65.44,38.17,-22.08
"341","ANA","2013-03-16",49.85,44.8,35.4,53.92,42.6,55.86,9.4
"342","ANA","2013-03-14",44.66,45.24,52.08,60.78,69.97,46.49,-6.84
"343","ANA","2013-03-12",40.82,33.34,44.93,49,66.05,42.59,-11.6
"344","ANA","2013-03-10",42.54,25.9,46.72,36.53,65.9,35.66,-20.82
"345","ANA","2013-03-08",55.25,44.62,59.56,48.45,64.68,42.83,-14.94
"346","ANA","2013-03-06",51.52,35.13,44.76,40.91,52.13,43.97,-9.63
